epoch,train_loss,validation_loss,train_accuracy,validation_accuracy
1,0.8444230183755934,0.7785585815910916,62.54327808471455,65.16390423572744
2,0.7777334708666933,0.7673432123726903,65.20441988950276,65.28913443830571
3,0.7672058013306577,0.7708328797101536,65.6390423572744,65.6279926335175
4,0.7649000499086046,0.7578683103777427,65.67955801104972,65.87845303867404
5,0.7601257729837688,0.7564098931149225,65.81767955801105,66.06998158379373
6,0.7576266187901436,0.7566155128979551,65.8305709023941,65.90791896869244
7,0.75557415490651,0.7496213251582825,65.8987108655617,66.23941068139963
8,0.7548444280000901,0.7491942126799245,65.98895027624309,66.3720073664825
9,0.7532776789858416,0.7483678486553564,65.99263351749539,66.47513812154696
10,0.75198303049221,0.7566774361831707,65.99815837937385,66.26887661141805
11,0.7532652209389056,0.7484934137978387,66.06998158379373,66.54143646408839
12,0.7523771290840584,0.7476338943767723,66.0791896869245,66.51933701657458
13,0.7517089033126831,0.7512998122097598,66.12523020257827,66.31307550644567
14,0.7514537078855665,0.7472227625117995,66.17863720073665,66.64456721915286
15,0.7510861060325172,0.7555452176659586,66.19705340699817,66.19521178637201
16,0.7505053062772663,0.7500603738674143,66.21731123388582,66.49723756906077
17,0.7502253180841056,0.752094326115884,66.06261510128914,66.56353591160222
18,0.7508227536559764,0.7541748370035357,66.10865561694291,66.58563535911603
19,0.7497002917012238,0.7468044159820725,66.12891344383057,66.62983425414365
20,0.7500690190304709,0.7479342893517917,66.11233885819522,66.59300184162062
